BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Abstract,Custom2,Custom3,Custom4,Custom5,CI1 – Idioma Inglês,CI2 – Data de publicação (qualquer),CI3 – peer reviewed,CI4 – Disponível para download,CI5 – Assunto bots conversacionais,CI6 – Assunto engenharia de software,CE1 – Estudo duplicado,CE2 – Já existe replicação mais recente,CE3 – Bots não conversacionais,,,,
10,,Justesen2017b,"Justesen, N.; Risi, S.",Continual online evolutionary planning for in-game build order adaptation in starcraft,GECCO 2017 - Proceedings of the 2017 Genetic and Evolutionary Computation Conference,,,,187-194,2017,,cited By 24,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026384177&doi=10.114S%2f3071178.3071210&partnerID=40&md5=941fb0ff90250f600005a4aa01840c5c,,,,,,,,,,,,,"The real-time strategy game StarCraft has become an important benchmark for AI research as it poses a complex environment with numerous challenges. An important strategic aspect in this game is to decide what buildings and units to produce. StarCraft bots playing in AI competitions today are only able to switch between predefined strategies, which makes it hard to adapt to new situations. This paper introduces an evolutionary-based method to overcome this challenge, called Continual Online Evolutionary Planning (COEP), which is able to perform in-game adaptive build-order planning. COEP was added to an open source StarCraft bot called UAlbertaBot and is able to outperform the built-in bots in the game as well as being competitive against a number of scripted opening strategies. The COEP augmented bot can change its build order dynamically and quickly adapt to the opponent's strategy. © 2017 ACM.",,,,,,,,,,,,,,,,,
6,,Kailin2007,"Kai-lin, Pan; Bin, Zhou; Yi-lin, Yan",Drop Dynamic Responses and Modal Analysis for Board Level TFBGA,,,,June,1-5,2007,,,,2007 International Symposium on High Density packaging and Microsystem Integration,,,,,,,,,,,,"Along with more and more use of thin-profile fine-pitch ball grid array (TFBGA) in portable electronic products, such as mobile phones and personal digital assistant (PDA), etc., the drop impact reliability of solder joints for TFBGA becomes a critical concern. This problem is more serious with the application of lead free solder because lead free solder alloy have higher rigidity and lower ductibility compared with the traditional SnPb solder alloy. Whereas the drop test is high cost and long cycle, and the traditional board level drop simulation poses severe challenge to the computer resource, the theory analysis and modal superposition method are combined in this paper. Firstly, the drop vibration differential equation of simplified PCB assembly is deduced and the analytic solution is solved based on the given boundary condition according to the dynamics theory. Secondly, the ANSYS/LS-DYNA software is employed, a quarter 3D model with 15 representatives lead free TFBGA mounted on PCB is developed, and the dynamic responses of solder joint is analyzed under the drop impact. The critical solder joint with the maximal stress caused by deflection of PCB is identified by the model. Finally, the relationship between the number of screws which support the PCB and the PCB deflection under drop impact is studied through the modal superposition, and the influence of every stage mode to the PCB bending deflection is discussed. The results show that the outermost corner solder joint called critical solder joint is aptest to failure. More deflection of PCB causes larger stress of solder joint. The first bend mode is the main factor which influences the bending deflection of PCB. Adopting more screws to support PCB as well as reducing the influence of the first mode is good to improve the drop impact performance of solder joint. Compared with time history explicit dynamic analysis, modal superposition harmonic response analysis can save the solving time greatly.",,Modal analysis;Soldering;Environmentally friendly manufacturing techniques;Lead;Personal digital assistants;Stress;Fasteners;Harmonic analysis;Electronics packaging;Mobile handsets;Thin-profile fine-pitch ball grid array;Vibration equation;Dynamic response;Modal superposition,,,,,,,,,,,,,,,
7,,Karabiyik2016,"Karabiyik, U.; Aggarwal, S.",Advanced automated disk investigation toolkit,IFIP Advances in Information and Communication Technology,484,,,379-396,2016,,cited By 2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990026622&doi=10.1007%2f978-3-319-46279-0_20&partnerID=40&md5=9e63fb1f653b488beb5069b1e049c319,,,,,,,,,,,,,"Open source software tools designed for disk analysis play a critical role in digital forensic investigations. The tools typically are onerous to use and rely on expertise in investigative techniques and disk structures. Previous research presented the design and initial development of a toolkit that can be used as an automated assistant in forensic investigations. This chapter builds on the previous work and presents an advanced automated disk investigation toolkit (AUDIT) that leverages a dynamic knowledge base and database. AUDIT has new reporting and inference functionality. It facilitates the investigative process by handling core information technology expertise, including the choice and operational sequence of tools and their configurations. The ability of AUDIT to serve as an intelligent digital assistant is evaluated using a series of tests that compare it against standard benchmark disk images and examine the support it provides to human investigators. © IFIP International Federation for Information Processing 2016.",,,,,,,,,,,,,,,,,
1,1449389716,Karvinen2011,"Karvinen, Tero; Karvinen, Kimmo",Make: Arduino Bots and Gadgets Six Embedded Projects with Open Source Hardware and Software (Learning by Discovery),,,,,,2011,"Sebastopol, CA",,,,,1st,,,Make Books - Imprint of: O'Reilly Media,,,,,,,"Want to build your own robots, turn your ideas into prototypes, control devices with a computer, or make your own cell phone applications? It's a snap with this book and the Arduino open source electronic prototyping platform. Get started with six fun projects and achieve impressive results quickly. Gain the know-how and experience to invent your own cool gadgets. With Arduino, building your own embedded gadgets is easy, even for beginners. Embedded systems are everywhere--inside cars, children's toys, and mobile phones. This book will teach you the basics of embedded systems and help you build your first gadget in just a few days. Each learn-as-you-build project that follows will add to your knowledge and skills. Experiment with Arduino, the popular microcontroller board Build robots and electronic projects with easy-to-follow instructions Turn your ideas into working physical prototypes Use Android phones as remote controls in your projects Work with an uncomplicated programming language created for artists, designers, and hobbyists Get everyone involved, with projects that even beginners can build.",,,,,,,,,,,,,,,,,
6,9781450317870,Keegan2012,"Keegan, Mathew; Boyle, Roger D.; Dee, Hannah M.",Turi: Chatbot Software for Schools in the Turing Centenary,,,,,153–154,2012,"New York, NY, USA",,https://doi.org/10.1145/2481449.2481489,Proceedings of the 7th Workshop in Primary and Secondary Computing Education,,,WiPSCE '12,,Association for Computing Machinery,,,,,,,"We describe a workshop designed for 11-19 year-olds that considers the nature of intelligence and introduces the Turing test in various ways.Chatbots as mimics of intelligence are considered at length. Pupils are invited to use our system Turi in which they can build and test their own chatbot.The materials are free, open source and available for all to download [1].",,"chatbots, artificial intelligence, computer science education, Alan Turing",,,,,,,,,,,,,,,
10,,Keegan2012a,"Keegan, M.; Boyle, R. D.; Dee, H. M.",Turi: Chatbot software for schools in the Turing Centenary,ACM International Conference Proceeding Series,,,,153-154,2012,,cited By 4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878468276&doi=10.1145%2f2481449.2481488&partnerID=40&md5=be665c542e94fbdfd7b76bd8da630490,,,,,,,,,,,,,"We describe a workshop designed for 11-19 year-olds that considers the nature of intelligence and introduces the Turing test in various ways. Chatbots as mimics of intelligence are considered at length. Pupils are invited to use our system Turi in which they can build and test their own chatbot. The materials are free, open source and available for all to download [1]. Copyright © 2012 ACM.",,,,,,,,,,,,,,,,,
7,,Kenny2020,"Kenny, A.; Gordon, N.; Downey, J.; Eddins, O.; Buchholz, K.; Menyon, A.; Mansah, W.",Design and implementation of a mobile health electronic data capture platform that functions in fully-disconnected settings: A pilot study in rural Liberia,BMC Medical Informatics and Decision Making,20,1,,,2020,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079797316&doi=10.1186%2fs12911-020-1059-6&partnerID=40&md5=3a7026645c834b1ffec5c32a60b88ee8,,,,,,,,,,,,,"Background: Mobile phones and personal digital assistants have been used for data collection in developing world settings for over three decades, and have become increasingly common. However, the use of electronic data capture (EDC) through mobile phones is limited in many areas by inconsistent network connectivity and poor access to electricity, which thwart data transmission and device usage. This is the case in rural Liberia, where many health workers live and work in areas without any access to cellular connectivity or reliable power. Many existing EDC mobile software tools are built for occasionally-disconnected settings, allowing a user to collect data while out of range of a cell tower and transmit data to a central server when he/she regains a network connection. However, few tools exist that can be used indefinitely in fully-disconnected settings, where a user will never have access to the internet or a cell network. This led us to create and implement an EDC software tool that allows for completely offline data transfer and application updating. Results: We designed, pilot-Tested, and scaled an open-source fork of Open Data Kit Collect (an Android application that can be used to create EDC systems) that allows for offline Bluetooth-based bidirectional data transfer, enabling a system in which permanently-offline users can collect data and receive application updates. We implemented this platform among a cohort of 317 community health workers and 28 supervisors in a remote area of rural Liberia with incomplete cellular connectivity and low access to power sources. Conclusions: Running a fully-offline EDC program that completely bypasses the cellular network was found to be feasible; the system is still running, over 4 years after the initial pilot program. The users of this program can theoretically collect data offline for months or years, assuming they receive hardware support when needed. Fully-offline EDC has applications in settings where cellular network coverage is poor, as well as in disaster relief settings in which portions of the communications infrastructure may be temporarily nonfunctional. © 2020 The Author(s).",,,,,,,,,,,,,,,,,
6,,Ketamo2002,"Ketamo, H.",xTask-adaptable working environment,,,,Aug,55-62,2002,,,,Proceedings. IEEE International Workshop on Wireless and Mobile Technologies in Education,,,,,,,,,,,,"Traditional web-based learning environments are all good solutions to reach the time and place independent studying, but studying is still dependent on place with access to network. With new mobile technologies we can create the training environment, which can be accessed by mobile terminals (PDAs such as Compaq iPaq or WAP phones) and PCs. This paper describes a study for which the aim was to implement a mobile environment, xTask, for teaching and training. The xTask can be accessed by PCs or PDAs and it is built over free software platforms (such as Apache web-server, ActivePerl programming interface and MySql database). Free software platforms are utilized to make it possible for anyone to use xTask after the main parts of the software are published at the end of 2002 under GPL license.",,Adaptive systems;Spine;Personal digital assistants;Education;Databases;Teleworking;Educational institutions;Programming profession;Licenses;Computer aided instruction,,,,,,,,,,,,,,,
6,,Khan2005,"Khan, M. A.; Fischer, S.",A Reflective Runtime Environment for Dynamic Adaptation of Streaming Media on Resource Constrained Devices,,,,Jan,306a-306a,2005,,,,Proceedings of the 38th Annual Hawaii International Conference on System Sciences,,,,,,,,,,,,"Over the past few years, a considerable amount of effort has been made in improving the QoS in computer networks. The associated problems become further complicated when the applications are resource intensive, links involved are wireless and the applications are required to execute on small mobile devices (e.g; PDAs). In such scenarios, the applications are desired to adapt to changing network/environmental conditions to give a relatively stable user perceived QoS or in the worst case, go for a graceful degradation. In this paper we describe the architecture, implementation and evaluation of our adaptive runtime environment (ARE) which runs on top of JVM. We exploit application-side adaptation and our approach is based around aspect oriented programming (AOP) to design a reflective runtime environment, spatially and temporally optimized for small foot-print devices. A key feature of this environment is that it is completely free of any user involvement for QoS specification, even then, intelligent enough to make any a/v application adaptive.",,Runtime environment;Streaming media;Application software;Weaving;Computer networks;Protocols;Middleware;Computer languages;Operating systems;Personal digital assistants,,,,,,,,,,,,,,,
7,,Khanna2018,"Khanna, A.; Akshay; Garg, A.; Bhalla, A.",Designing natural language processing systems with quickscript as a platform,Advances in Intelligent Systems and Computing,564,,,305-312,2018,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042352635&doi=10.1007%2f978-981-10-6875-1_30&partnerID=40&md5=336e19cca0a5f4d0c033c0fea4e8ecba,,,,,,,,,,,,,"Chatbots are the most prolific examples of Natural Language Processing systems. These are computer software which can talk to users in natural language (via written and/or verbal methods). Like all other programs, these are also designed by computer programmers who are sometimes called “botmasters.” There are some languages and development tools that are used to create chatbots, and QuickScript is one such platform. We started the development of QuickScript as an open-source platform for creating artificial conversational agents, with an intention to generate wider interest in the field of Natural Language Processing (NLP) and chatbot designing. The power of QuickScript is its simplicity and minimalism. QuickScript is relatively fundamental software with which one can design a chatbot in no time, without memorizing a lot of syntaxes and just paying attention to basic query-and-reply pairs. This paper will focus its discussion on introduction to the QuickScript project and using QuickScript for working with natural language systems. © Springer Nature Singapore Pte Ltd. 2018.",,,,,,,,,,,,,,,,,
7,,Kim2013,"Kim, Jong-Hwan; Choi, Seung-Hwan; Park, In-Won; Zaheer, Sheir Afgen",Intelligence Technology for Robots That Think [Application Notes],IEEE Computational Intelligence Magazine,8,3,Aug,70-84,2013,,,,,,,,,,,,,,,,"The ability to think has been one of the most fascinating features of robots in science fiction since the introduction of the word 'robot' by Karel Capek in his Czech science fiction play, known as 'Rossum's Universal Robots' in English [1]. Since Capek's first depiction in 1921, science fictionists generally portray robots as intelligent humanoid machines that are subservient to humans. Android is another term used for such robots in modern linguistics. However, the development of robots with the ability to think has largely been a fantasy for robot scientists and engineers. Nevertheless, the evolution of robots has come a long way since the first industrial robot 'Unimate' in 1954. Robots have transformed from large automated manufacturing facilities to applications in our homes and even into our pockets as software robots in our PDAs and smart phones [2], [3]. This paper classifies robot intelligence into six categories: cognitive intelligence, social intelligence, behavioral intelligence, ambient intelligence, collective intelligence and genetic intelligence. This classification categorizes the intelligence of robots based on the different aspects of awareness and the ability to act deliberately as a result of such awareness.",,Artificial intelligence;Robots;Cognition;Service robots;Production facilities;Smart phones;Personal digital assistants,,,,,,,,,,,,,,,
6,,Kincaid2017,"Kincaid, Robert; Pollock, Graham",Nicky: Toward a Virtual Assistant for Test and Measurement Instrument Recommendations,,,,Jan,196-203,2017,,,,2017 IEEE 11th International Conference on Semantic Computing (ICSC),,,,,,,,,,,,"Natural language question answering has been an area of active computer science research for decades. Recent advances have led to a new generation of virtual assistants or chatbots, frequently based on semantic modeling of some broadly general domain knowledge. However, answering questions about detailed, highly technical, domain-specific capabilities and attributes remains a difficult and complex problem. In this paper we discuss a prototype conversational virtual assistant designed for choosing test and measurement equipment based on the detailed measurement requirements of the test engineer. Our system allows for multi-stage queries which retain sufficient short-term context to support query refinement as well as compound questions. In addition to the software architecture, we explore an approach to ontology development that leverages inference from reasoners and minimizes the complexity of entering the specifications for a large collection of instruments. Finally, we provide insights into the issues of building this system and provide recommendations for future designs.",,Instruments;Ontologies;Personal digital assistants;Current measurement;Voltage measurement;Semantics;Knowledge discovery;question answering;intelligent assistant;chatbot;ontology;semantic query;reasoning,,,,,,,,,,,,,,,
6,,Kinsman2021,"Kinsman, Timothy; Wessel, Mairieli; Gerosa, Marco A.; Treude, Christoph",How Do Software Developers Use GitHub Actions to Automate Their Workflows?,,,,May,420-431,2021,,,,2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),,,,,,,,,,,,"Automated tools are frequently used in social coding repositories to perform repetitive activities that are part of the distributed software development process. Recently, GitHub introduced GitHub Actions, a feature providing automated work-flows for repository maintainers. Although several Actions have been built and used by practitioners, relatively little has been done to evaluate them. Understanding and anticipating the effects of adopting such kind of technology is important for planning and management. Our research is the first to investigate how developers use Actions and how several activity indicators change after their adoption. Our results indicate that, although only a small subset of repositories adopted GitHub Actions to date, there is a positive perception of the technology. Our findings also indicate that the adoption of GitHub Actions increases the number of monthly rejected pull requests and decreases the monthly number of commits on merged pull requests. These results are especially relevant for practitioners to understand and prevent undesirable effects on their projects.",,Tools;Encoding;Data models;Planning;Data mining;IEEE activities;Open source software;GitHub Actions;GitHub Bots;Automated work-flow;Regression Discontinuity Design,,,,,,,,,,,,,,,
6,,Kloe2020,"Kloe, Robin; Zylowski, Thorsten; Zirpins, Christian",Dynamic Re-Configuration of Conversationally Initiated Automated Negotiations,,,,Oct,95-98,2020,,,,2020 IEEE 24th International Enterprise Distributed Object Computing Workshop (EDOCW),,,,,,,,,,,,The following topics are dealt with: business data processing; organisational aspects; learning (artificial intelligence); Internet of Things; data analysis; production engineering computing; workflow management software; software architecture; data mining; and cloud computing.,,Protocols;Decision making;Chatbot;Intelligent agents;Companies;Software;Multi-agent systems;intelligent agents;multiagent systems;distributed commercial transactions,,,,,,,,,,,,,,,
6,,Kodali2018,"Kodali, Ravi Kishore; Azman, Mohamed; Panicker, Jithu G.",Smart Control System Solution for Smart Cities,,,,Oct,89-893,2018,,,,2018 International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery (CyberC),,,,,,,,,,,,"Home or Office Automation may be described as a system to provide ease of operation of connected devices or appliances. Most commercial environments, during active hours, consume large amounts of energy resources; this could be optimized to the minimum by smartly monitoring and managing the resources. IoT (Internet of Things) enables this to be a possible solution at reasonable cost factors. However, it is important to note that in commercial environments, security is a key factor; corporations cannot depend on opening up their networks to the outside world in order to avail the services offered by currently available smart-devices. Localizing and privatizing the entire automation and control system would be desirable for such domains. The work presented in this paper proposes a solution for such applications which is crucial for the development of Smart Cities as a whole along with Smart Homes. One of the simplest tasks is to switch a light source, HVAC systems or any other electrical equipment on or off, by being physically present in the premises, remotely or automatically based on time or a sensor's reading. Furthermore, the intensity of the light source, the temperature of the HVAC systems and such parameters could also be varied. Development of technology in the field has enabled the production of cheap and small-sized computers like Raspberry Pi which are also known as Single Board Computers (SBC). The prototype designed is equipped with a secure local MQTT link for communication between the control and automation system and the Edge Devices. Additionally, it is equipped with a speech recognition system to give the users a much more intuitive and natural mean to communicate with and control the connected devices.",,Automation;Relays;Speech recognition;Cloud computing;Home automation;Computers;IoT;Control System;Digital Assistant;Home Automation;Smart Cities,,,,,,,,,,,,,,,
7,,Koehl2015,"Köhl, K.; Gremmels, J.",A software tool for the input and management of phenotypic data using personal digital assistants and other mobile devices,Plant Methods,11,1,,,2015,,cited By 9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926669411&doi=10.1186%2fs13007-015-0069-3&partnerID=40&md5=91a9cecde9a62c81eb960493923a39b4,,,,,,,,,,,,,"Background: Plant breeding and genetics demand fast, exact and reproducible phenotyping. Efficient statistical evaluation of phenotyping data requires standardised data storage ensuring long-term data availability while maintaining intellectual property rights. This is state of the art at phenomics centres, which, however, are unavailable for most scientists. For them we developed a simple and cost-efficient system, the Phenotyper, which employs mobile devices or personal digital assistants (PDA) for on-site data entry and open-source software for data management. Results: A graphical user interface (GUI) on a PDA replaces paper-based form sheet and data entry on a desktop. The user can define his phenotyping schemes in a web tool without in-depth knowledge of the system and thus adjust it more easily to new research aspects than in a classical laboratory information management system (LIMS). In the Phenotyper, schemes are built from controlled vocabulary gained from published ontologies. Vocabulary and schemes are stored in a database that also manages the user access. From the web page, schemes are downloaded as extended markup language (XML) files for the transfer to the PDA and the exchange between users. On the PDA, the GUI displays the schemes and stores data in comma separated value format and XML format. After manual quality control, data are uploaded via a web page to an independently hosted results database, in which data are stored in an entity-attribute-value structure to provide maximum flexibility. Datasets are linked to the original and curated data files stored on a file server. The ownership stamp, project affiliation and date stamp of a dataset are used to regulate data access, which is restricted to data belonging to the user or to his projects and data, for which the embargo period has ended. By export of standardised ASCII reports to long-term data storage facility, long-term accessibility allows searching, citing and use of raw data beyond the lifetime of the database. The Phenotyper is available to the scientific community for use and further development. Conclusions: The Phenotyper provides a well-structured, but flexible data acquisition and management structure for mobile on-site measurements for efficient evaluation and shared use of data. © Köhl and Gremmels; licensee BioMed Central.",,,,,,,,,,,,,,,,,
7,,Kollanyi2016,"Kollanyi, B.",Where do bots come from? An analysis of bot codes shared on GitHub,International Journal of Communication,10,,,4932-4951,2016,,cited By 12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996982602&partnerID=40&md5=99094865a2b9717b754ffbb414f1cb9d,,,,,,,,,,,,,"An increasing amount of open source code is available on the Internet for quickly setting up and deploying bots on Twitter. This development of open-source Twitter bots signals the emergence of new political economies that redistribute agencies around technological actors, empowering both the writers of the bots and users who deploy a bot based on the shared code. However, we have no systematic knowledge about how these bots are produced or what role sharing and collaboration play in this process. This article examines the practice of writing and sharing bot codes on GitHub, currently the largest online code repository, by analyzing data about more than 4,000 public Twitter bot code repositories from 2008 to 2016. The data reveal an exponential growth in the number of Twitter bots and a strong dominance of U.S.-based bot developers. Based on data gathered from GitHub about the social aspect of programming on the platform, the article also discusses how developers collaborate and interact with one another on GitHub around bot codes. © 2016 Bence Kollanyi.",,,,,,,,,,,,,,,,,
6,,Koo2008,"Koo, Myoung-Wan; Choi, Joon-Ki; Kim, Young-Myoung",The Development of Automatic Speech Recognition Software for Portable Devices,,,,Feb,59-62,2008,,,,First International Conference on Advances in Computer-Human Interaction,,,,,,,,,,,,"In this paper, we show some the implementation issues of automatic speech recognition (ASR) for portable devices. First, we propose free-running speech recognition software which does not need to push the button before saying voice command and is always running for detecting key-words under real environment. Second, we propose a method for detecting keyword and rejecting out-of-vocabularies (OOV). It consists of filler-modeling technique and utterance verification. And finally, we implement the ASR software on PDAs (Samsung SPH-M4300 and HP iPAQ-RW6100), one kind of portable devices. It works in 54.7% of real-time with the recognition accuracy of 88.3%.",,Automatic speech recognition;Acoustic noise;Hidden Markov models;Speech recognition;Personal digital assistants;Feature extraction;Robustness;Cellular phones;Wireless LAN;Software architecture;automatic speech recognition;ASR;portable devices;PDA,,,,,,,,,,,,,,,
7,,Kowatsch2017,"Kowatsch, T.; Volland, D.; Shih, I.; Rüegger, D.; Künzler, F.; Barata, F.; Filler, A.; Büchter, D.; Brogle, B.; Heldt, K.; Gindrat, P.; Farpour-Lambert, N.; L’Allemand, D.",Design and evaluation of a mobile chat app for the open source behavioral health intervention platform mobilecoach,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),10243 LNCS,,,485-489,2017,,cited By 25,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020460132&doi=10.1007%2f978-3-319-59144-5_36&partnerID=40&md5=5d8107f269fac8dcbf86af2cb66fd2cd,,,,,,,,,,,,,"The open source platform MobileCoach (mobile-coach.eu) has been used for various behavioral health interventions in the public health context. However, so far, MobileCoach is limited to text message-based interactions. That is, participants use error-prone and laborious text-input fields and have to bear the SMS costs. Moreover, MobileCoach does not provide a dedicated chat channel for individual requests beyond the processing capabilities of its chatbot. Intervention designers are also limited to text-based self-report data. In this paper, we thus present a mobile chat app with pre-defined answer options, a dedicated chat channel for patients and health professionals and sensor data integration for the MobileCoach platform. Results of a pretest (N = 11) and preliminary findings of a randomized controlled clinical trial (N = 14) with young patients, who participate in an intervention for the treatment of obesity, are promising with respect to the utility of the chat app. © Springer International Publishing AG 2017.",,,,,,,,,,,,,,,,,
6,,Kubi2011,"Kubi, Appiah Kwame; Saleem, Shahzad; Popov, Oliver",Evaluation of some tools for extracting e-evidence from mobile devices,,,,Oct,1-6,2011,,,,2011 5th International Conference on Application of Information and Communication Technologies (AICT),,,,,,,,,,,,"In a digital world, even illegal behaviour and/or crimes may be termed as digital. This world is increasing becoming mobile, where the basic computation and communication entities are Small Scale Digital Devices (SSDDs or S2D2s) such as ordinary mobile phones, personal digital assistants, smart phones and tablets. The need to recover data, which might refer to unlawful and unethical activities gave rise to the discipline of mobile forensics, which has become an integral part of digital forensics. Consequently, in the last few years there is an abundance of mobile forensics tools, both commercial and open-source ones, whose vendors and developers make various assertions about the capabilities and the performance of their tools. The complexity and the diversity of both mobile devices and mobile forensics tools, coupled with the volatile nature of the digital evidence and the legal requirements of admissibility makes it difficult for forensics investigators to select the right tool. Hence, we have evaluated UFED Physical Pro 1.1.3.8 and XRY 5.0 following “Smartphone Tool Specifications Standard” developed by NIST, in order to start developing a framework for evaluating and referencing the “goodness” of the mobile forensic tools. The experiments and the results of the research against the core smart phone tool specifications and their associated test findings are presented in such a way that it should make it easier for the prospective mobile forensic examiner select the most adequate tool for a specific case.",,Global Positioning System;Telephone sets;Reliability;Software;Graphics;Servers;Mobile communication;Digital Forensics;Mobile Device Forensics and tools;Reliability Assurance Level;e-Evidence,,,,,,,,,,,,,,,
7,,Kulik2007,"Kulik, Lars",Mobile Computing Systems Programming: A Graduate Distributed Computing Course,IEEE Distributed Systems Online,8,5,May,4-4,2007,,,,,,,,,,,,,,,,"Mobile devices are ubiquitous: they encompass portable audio and video players, digital cameras, tablet PCs and PDAs, as well as cell phones and smart phones. A Sept. 2006 Cellular News story (http://www.cellular-news.com/story/19223.php) estimated that there are more than 2.5 billion mobile phones worldwide. Although the mobile systems market is large and the career opportunities for students are excellent, relatively few universities offer mobile computing courses, much less teach mobile systems programming. Because mobile networks are likely to drive computing for the foreseeable future, the University of Melbourne Computer Science and Software Engineering Department created a Master of Engineering in Distributed Computing degree program.The MEDC program educates graduate students in rapidly evolving key areas such as distributed computing, mobile computing, pervasive computing, and sensor networks. I teach CSSE 653: Mobile Computing Systems Programming.",,Distributed computing;Mobile computing;Pervasive computing;Programming profession;Educational institutions;Computer networks;Digital cameras;Personal communication networks;Personal digital assistants;Cellular phones;mobile computing;programming for mobile devices;distributed computing;pervasive computing;mobile ad-hoc networks;location-aware computing;mobile positioning,,,,,,,,,,,,,,,
6,,Kumar2016,"Kumar, Sanjeev; Sehgal, Rakesh Kumar; Chamotra, Saurabh",A Framework for Botnet Infection Determination through Multiple Mechanisms Applied on Honeynet Data,,,,Feb,6-13,2016,,,,2016 Second International Conference on Computational Intelligence Communication Technology (CICT),,,,,,,,,,,,"Botnets are a class of internet attacks having different characteristics as compared to the normal internet attacks. One of the features that uniquely characterize a botnet attack is that ""the infected machine (Bot) is being remotely controlled by an entity called ""Botmaster"". The Botmaster remotely controls these infected systems through ""Command and Control"" servers (C&C). Over a period of time complexity of botnets has increased many folds. Advance techniques employed by botnets such as protocol encryption, complex botnet structure and multi stage infection propagation models have made the botnets detection a challenging problem. Hence there is a need of a botnet detection mechanism which is independent of C&C protocol, structure and the infection propagation model used by the botnet. In the work presented in this paper, the experiments have been performed for evaluating the strength of existing botnet detection techniques, and proposed an advance detection mechanism which uses a logical combination of existing open source solutions with Honeynet technologies and our own mechanisms for botnets detection. A test setup as a proof-of-concept of the proposed framework with the experimental results is presented in this paper.",,Malware;Protocols;Engines;Servers;Command and control systems;Data mining;Internet;Malwares;Botnets;Network Security;Intrusion Detection System;Honeynet,,,,,,,,,,,,,,,
6,9781450360258,Kumar2019,"Kumar, Ranjitha",Data-Driven Design: Beyond A/B Testing,,,,,1–2,2019,"New York, NY, USA",,https://doi.org/10.1145/3295750.3300046,Proceedings of the 2019 Conference on Human Information Interaction and Retrieval,,,CHIIR '19,,Association for Computing Machinery,,,,,,,"A/B testing has become the de facto standard for optimizing design, helping designers craft more effective user experiences by leveraging data. A typical A/B test involves dividing user traffic between two experimental conditions (A and B), and looking for statistically significant differences in performance indicators (e.g., conversion rates) between them. While this technique is popular, there are other, powerful data-driven methods --- complementary to A/B testing --- that can tie design choices to desired outcomes. Mining data from existing designs can expose designers to a greater space of divergent solutions than A/B testing [1,4] ,RICO:2017. Since companies cannot predict a priori if the engineering effort for creating alternatives will be commensurate with a performance increase, they often test small changes, along gradients to local optima. With the millions of websites and mobile apps available today, it is likely that almost any UX problem a designer encounters has already been considered and solved by someone. The challenges are finding relevant existing solutions, measuring their performance, and correlating these metrics with design features. Recent systems that capture and aggregate interaction data from third-party Android apps --- with zero code integration --- open-source analytics that were previously locked away in each app, allowing designers to test and compare UI/UX patterns found in the wild: [2,3] 2017.Lightweight prototypes with tight user feedback loops, or experimentation engines, can bootstrap product design involving technologies that are actively being developed (e.g., artificial intelligence, virtual/augmented reality), where both use cases and capabilities are not well-understood [5]. These systems afford staged automation: initially, ""Wizard of Oz'' techniques can scaffold needfinding, and eventually be replaced with automated solutions informed by the collected data. For example, a chatbot deployed on social media can serve as an experimentation engine for automating fashion advice [7]. At first, a pool of personal stylists can power the chatbot to collect organic conversations revealing common fashion problems, effective interaction patterns for addressing them, and design considerations for automation. Once technologies are developed to scale useful interventions [8,9], the chatbot platform provides a testbed for iteratively refining them. Generative models trained on a set of effective design examples can support predictive workflows that allow designers to rapidly prototype new, performant solutions [6]. Models such as generative adversarial networks and variational autoencoders can produce designs based on high-level constraints, or complete them given partial specifications. For example, a mobile wireframing tool backed by such a model could suggest adding ""username"" and ""password"" input fields to a screen with a centrally placed ""login"" button.",,"data-driven design, fashion, ui/ux, design mining, mobile apps",,,,,,,,,,,,,,,
